,dataset,ind,DF_CC_overall,DF_CC_keep,DF_CC_notkeep,DF_avg_voxel
0,P0115,0,0.15153561106743732,0.5430301591626207,0.07980178591005598,1.3551069498062134
0,P0115,9,0.13237402788866223,0.46348121805153664,0.08189520748574278,1.2483945172498836
0,P0115,11,0.1188160376033015,0.4773040527321075,0.062186116230617094,1.2878837389557154
0,P0115,6,0.13940704985987915,0.42375951629848696,0.10001752492807163,1.164808438208839
0,P0115,7,0.14791780503343385,0.4416951108353204,0.10570091015024687,1.1964083595697885
0,P0115,10,0.13257930411554475,0.4751881829960575,0.07922808254905798,1.2741936100151616
0,P0115,4,0.14955723031600437,0.4075890596485191,0.1169902400341423,1.0893500473222977
0,P0115,5,0.14709212546312994,0.4155235793100942,0.11156600152663336,1.1260663358908478
0,P0115,2,-0.029024696582913033,0.27628707825614446,-0.06308501454807725,0.9898412063024367
0,P0115,8,0.14224056733799015,0.4543258267379198,0.0959030960379564,1.2250266461088053
0,P0115,3,-0.02953397428707455,0.27897917620128626,-0.06394115035208554,0.9887775897771032
0,P0116,0,0.08158928735603248,0.24407630335769748,0.07221954943125487,0.8986055254936218
0,P0116,9,-0.02211201526546091,0.11798376726970292,-0.030152588326192897,0.9166180878333201
0,P0116,11,-0.02025353980153023,0.13146981609334218,-0.029211805894954482,0.945970377364972
0,P0116,6,0.01811972423900922,0.11969607578637666,0.01255037556096784,0.8923851584655109
0,P0116,7,0.002736265181427036,0.1122811074043203,-0.0033952638969754257,0.9056086640989515
0,P0116,10,-0.018173301567751668,0.12536186601466168,-0.026540037609963037,0.9302315695167808
0,P0116,4,0.06363691170214776,0.13540569763349158,0.05988398995672065,0.860887318196608
0,P0116,5,0.03985385083817603,0.12674528428500514,0.035241890586308576,0.868784006824083
0,P0116,2,-0.10990995541144978,-0.005464174573422893,-0.11517297841797673,0.8380612533177333
0,P0116,8,0.002292970096246862,0.1256457396075602,-0.004670684797175089,0.9067775334388571
0,P0116,3,-0.10797114959331891,-0.0032584219743789842,-0.11321089371856244,0.8319864395234987
0,P0123,0,0.018698193776350576,0.3819496597654951,-0.01134732884846101,1.1330344676971436
0,P0123,9,-0.04253530651189513,0.17207740741258606,-0.05458739381355788,0.880038381543007
0,P0123,11,-0.05525488839258836,0.16926686724296508,-0.06797754995070865,0.8864161595174467
0,P0123,6,-0.02191609412145257,0.16040167612348358,-0.03197516201511084,0.8708881158863516
0,P0123,7,-0.019896271032561894,0.17016986465727585,-0.030428702541338816,0.8723986291553201
0,P0123,10,-0.05372612728837745,0.1668846260563018,-0.06618917540353662,0.8833449729851462
0,P0123,4,-0.013062608020798038,0.15152819374362092,-0.021897836604400745,0.8538202292520553
0,P0123,5,-0.013084349698774545,0.15815318626473127,-0.022421046877053166,0.8654651971315033
0,P0123,2,-0.16322644114404813,0.001399704395089667,-0.17183887856919444,0.803071263023893
0,P0123,8,-0.03757941045274866,0.16463629094114446,-0.04887546646735872,0.8764885287785822
0,P0123,3,-0.1642546770666022,0.00020156473300357125,-0.17287358360467328,0.8022422861307106
0,P0124,0,0.043879899121203214,0.012446596933162187,0.04449338719979115,0.6637928485870361
0,P0124,9,-0.06428279660498165,-0.022198942464105562,-0.06508142438629973,0.7209565232178172
