,index,file,grid_id,job_id,Resolution Range (Å),seed,CCpred_test,CCpred_train,delay,CChalf,IL,MLPL,ITER,STDOF,PEF,rDW,RU
0,0,pyp_1p6A_grid_predictions_0.mtz,2,21040354,19.31 - 1.60,27718,0.9157062150336576,0.9631593407298548,0,0.9077758522261156,0.0,10.0,50000.0,32.0,0.0,0.0,0.0
1,15,pyp_1p6A_grid_predictions_1.mtz,2,21040354,19.31 - 1.60,27718,0.9162080704411384,0.9599785466277386,1,0.9077758522261156,0.0,10.0,50000.0,32.0,0.0,0.0,0.0
2,1,pyp_1p6A_grid_predictions_0.mtz,3,21040355,19.31 - 1.60,26,0.9222961730565842,0.962357445954804,0,0.9047806926675817,0.0,10.0,50000.0,32.0,0.0,0.5,0.0
3,16,pyp_1p6A_grid_predictions_1.mtz,3,21040355,19.31 - 1.60,26,0.9251556146955696,0.9606870463145646,1,0.9047806926675817,0.0,10.0,50000.0,32.0,0.0,0.5,0.0
4,2,pyp_1p6A_grid_predictions_0.mtz,4,21040414,19.31 - 1.60,1740,0.9300811904186328,0.9611842471147848,0,0.9087695616907553,0.0,10.0,50000.0,32.0,0.0,0.75,0.0
5,17,pyp_1p6A_grid_predictions_1.mtz,4,21040414,19.31 - 1.60,1740,0.9256066493096414,0.9598627842119238,1,0.9087695616907553,0.0,10.0,50000.0,32.0,0.0,0.75,0.0
6,3,pyp_1p6A_grid_predictions_0.mtz,5,21040415,19.31 - 1.60,28650,0.9325248263654672,0.9605563577391698,0,0.9056897501857607,0.0,10.0,50000.0,32.0,0.0,0.875,0.0
7,18,pyp_1p6A_grid_predictions_1.mtz,5,21040415,19.31 - 1.60,28650,0.9135559075831072,0.960274623050265,1,0.9056897501857607,0.0,10.0,50000.0,32.0,0.0,0.875,0.0
8,4,pyp_1p6A_grid_predictions_0.mtz,6,21040416,19.31 - 1.60,14464,0.935774709863868,0.961662618758004,0,0.9136781050216075,0.0,10.0,50000.0,32.0,0.0,0.9375,0.0
9,19,pyp_1p6A_grid_predictions_1.mtz,6,21040416,19.31 - 1.60,14464,0.9245403596157848,0.959986271795583,1,0.9136781050216075,0.0,10.0,50000.0,32.0,0.0,0.9375,0.0
10,5,pyp_1p6A_grid_predictions_0.mtz,7,21040417,19.31 - 1.60,14369,0.9282836432323012,0.962770440946239,0,0.9190642238782658,0.0,10.0,50000.0,32.0,0.0,0.96875,0.0
11,20,pyp_1p6A_grid_predictions_1.mtz,7,21040417,19.31 - 1.60,14369,0.9338774273158276,0.9602651090756088,1,0.9190642238782658,0.0,10.0,50000.0,32.0,0.0,0.96875,0.0
12,6,pyp_1p6A_grid_predictions_0.mtz,8,21040418,19.31 - 1.60,16432,0.9501072158716372,0.9605488032828128,0,0.9331077166560174,0.0,10.0,50000.0,32.0,0.0,0.98438,0.0
13,21,pyp_1p6A_grid_predictions_1.mtz,8,21040418,19.31 - 1.60,16432,0.9358919092011292,0.9604127937907804,1,0.9331077166560174,0.0,10.0,50000.0,32.0,0.0,0.98438,0.0
14,7,pyp_1p6A_grid_predictions_0.mtz,9,21040419,19.31 - 1.60,9267,0.9408763351576288,0.9613300442208575,0,0.9358004417748593,0.0,10.0,50000.0,32.0,0.0,0.99219,0.0
15,22,pyp_1p6A_grid_predictions_1.mtz,9,21040419,19.31 - 1.60,9267,0.9479501446973944,0.9581468780922552,1,0.9358004417748593,0.0,10.0,50000.0,32.0,0.0,0.99219,0.0
16,8,pyp_1p6A_grid_predictions_0.mtz,10,21040420,19.31 - 1.60,21111,0.9445260820375152,0.9605688555013338,0,0.9454919242221833,0.0,10.0,50000.0,32.0,0.0,0.99609,0.0
17,23,pyp_1p6A_grid_predictions_1.mtz,10,21040420,19.31 - 1.60,21111,0.9506364685398172,0.9578445121484784,1,0.9454919242221833,0.0,10.0,50000.0,32.0,0.0,0.99609,0.0
18,9,pyp_1p6A_grid_predictions_0.mtz,11,21040452,19.31 - 1.60,13926,0.9476521379091352,0.9614160609228388,0,0.9480848091286301,0.0,10.0,50000.0,32.0,0.0,0.99805,0.0
19,24,pyp_1p6A_grid_predictions_1.mtz,11,21040452,19.31 - 1.60,13926,0.9470477534566965,0.9596626879384011,1,0.9480848091286301,0.0,10.0,50000.0,32.0,0.0,0.99805,0.0
20,10,pyp_1p6A_grid_predictions_0.mtz,12,21040537,19.31 - 1.60,31377,0.9454105066463574,0.9627825559474718,0,0.9501190867988737,0.0,10.0,50000.0,32.0,0.0,0.99902,0.0
21,25,pyp_1p6A_grid_predictions_1.mtz,12,21040537,19.31 - 1.60,31377,0.944320085263436,0.9612079158732988,1,0.9501190867988737,0.0,10.0,50000.0,32.0,0.0,0.99902,0.0
22,11,pyp_1p6A_grid_predictions_0.mtz,13,21040538,19.31 - 1.60,19944,0.942145656956812,0.9641192725619708,0,0.956109010644704,0.0,10.0,50000.0,32.0,0.0,0.99951,0.0
23,26,pyp_1p6A_grid_predictions_1.mtz,13,21040538,19.31 - 1.60,19944,0.946586330680556,0.9616676193059294,1,0.956109010644704,0.0,10.0,50000.0,32.0,0.0,0.99951,0.0
24,12,pyp_1p6A_grid_predictions_0.mtz,14,21040606,19.31 - 1.60,1154,0.9514003135972746,0.9641313683891698,0,0.9661733087152228,0.0,10.0,50000.0,32.0,0.0,0.99976,0.0
25,27,pyp_1p6A_grid_predictions_1.mtz,14,21040606,19.31 - 1.60,1154,0.9453958952248052,0.9626765522505388,1,0.9661733087152228,0.0,10.0,50000.0,32.0,0.0,0.99976,0.0
26,13,pyp_1p6A_grid_predictions_0.mtz,15,21040637,19.31 - 1.60,8951,0.953839836852213,0.9653376097444896,0,0.9626559976539335,0.0,10.0,50000.0,32.0,0.0,0.9999,0.0
27,28,pyp_1p6A_grid_predictions_1.mtz,15,21040637,19.31 - 1.60,8951,0.9541811042152238,0.9633358199521804,1,0.9626559976539335,0.0,10.0,50000.0,32.0,0.0,0.9999,0.0
